ID;Name;Category;Primary Muscle;Secondary Muscle;Equipment
2358;Elephant Walks;Legs;Hamstrings;Calves;none (bodyweight exercise)
2093;Elevación de talón de pie;Legs;Calves, ;;
2092;Elevación de talón sentados;Legs;Calves, ;;
2203;Exercise Band Dorsiflexion;Legs;;;none (bodyweight exercise)
2204;Exercise Band Plantarflexion;Legs;Calves;;none (bodyweight exercise)
2109;Extensión de gluteo en  máquina;Legs;Glutes;;
2108;Extensión de gluteos en polea;Legs;Glutes;;
191;Front Squats;Legs;Glutes;Abs;Barbell
2119;Gemelos en prensa;Legs;;;
408;Glute Bridge;Legs;Glutes;Hamstrings;
2359;Good Morning;Legs;Hamstrings;;none (bodyweight exercise)
116;Good Mornings;Legs;Hamstrings;;
2383;Hack Squats;Legs;Quads;Hamstrings, Calves, Glutes;
2365;Hamstring Chokes;Legs;Hamstrings;;none (bodyweight exercise)
2353;Hamstring Kicks;Legs;Hamstrings;Glutes;none (bodyweight exercise)
650;Hindu Squats;Legs;Quads;Glutes;
854;Hip Thrust;Legs;Glutes;;Barbell, Bench
810;Jumping Jacks;Legs;Quads;;
249;Kettlebell Swings;Legs;Glutes;Hamstrings;Kettlebell
2419;Knee to Chest Stretch;Legs;Glutes;Hamstrings;none (bodyweight exercise)
1630;Kneeling kickbacks;Legs;;;none (bodyweight exercise)
2298;Lateral Push Off;Legs;Calves;Hamstrings;none (bodyweight exercise)
792;Leg Curl;Legs;Hamstrings, Glutes;;
154;Leg Curls (laying);Legs;Hamstrings;;
117;Leg Curls (sitting);Legs;Hamstrings;;
118;Leg Curls (standing);Legs;Hamstrings;;
1105;Leg Extension;Legs;Quads;Hamstrings;
1105;Leg Extension;Legs;Quads;Hamstrings;
788;Leg Press;Legs;Hamstrings, Calves, Glutes, Quads;Calves, Glutes;
2331;Leg Press;Legs;;;
130;Leg Press on Hackenschmidt Machine;Legs;Quads;;
115;Leg Presses (narrow);Legs;Quads;Glutes;
114;Leg Presses (wide);Legs;Quads;Glutes;
791;Leg Raise;Legs;, Abs;;
2312;Legs Abductors;Legs;;;
2313;Legs Adductors;Legs;;;
2310;Legs Curls;Legs;;;
2311;Legs Extensions;Legs;;;
389;Low Box Squat - Wide Stance;Legs;Glutes, Quads;;Barbell
1544;Lunges;Legs;;;none (bodyweight exercise)
1189;Nordic Curl;Legs;Hamstrings;Glutes;
355;Overhead Squat;Legs;;;
2401;Pin Squat;Legs;Hamstrings, Glutes, Quads;Abs;Barbell
160;Pistol Squat;Legs;Hamstrings, Glutes;Shoulders, Biceps, ;
1938;Pistol squats right;Legs;;;none (bodyweight exercise)
2374;Plank with Alternating Leg Lift;Legs;Glutes;;none (bodyweight exercise)
2243;Plantarflexion Stretch with Band;Legs;;;
2170;Prisoner Squat;Legs;;;none (bodyweight exercise)
1188;Reverse Nordic Curl;Legs;Quads;Glutes, Abs;
1753;Reverse lunges;Legs;;;none (bodyweight exercise)
351;Romanian Deadlift;Legs;;;Barbell
2176;Romanian deadlift, single leg;Legs;Hamstrings;;Dumbbell, Kettlebell
377;Seated Hip Adduction;Legs;Glutes;;
2161;Side Lying Hip Abduction;Legs;;;none (bodyweight exercise)
2152;Side Slides + Squats;Legs;Quads;Calves, Glutes;none (bodyweight exercise)
1574;Side split squats left;Legs;;;none (bodyweight exercise)
1588;Side split squats right;Legs;;;none (bodyweight exercise)
1057;Single Leg Extension;Legs;Quads;;
2360;Single Leg Hamstring Stretch;Legs;Hamstrings;;none (bodyweight exercise)
2356;Single Leg RDL;Legs;Hamstrings, Glutes;;none (bodyweight exercise)
2355;Single Leg RDL;Legs;Hamstrings;Glutes;none (bodyweight exercise)
2242;Sitting Calf Stretch (Dorsiflexion);Legs;Calves, ;;
328;Speed Deadlift;Legs;;;
1643;Split squats left;Legs;;;none (bodyweight exercise)
1657;Split squats right;Legs;;;none (bodyweight exercise)
185;Squat Jumps;Legs;Quads;;
795;Squat Thrust;Legs;Glutes, Quads, Abs, ;;none (bodyweight exercise)
111;Squats;Legs;Quads;Glutes;Barbell
2309;Squats (Dumbbells);Legs;Hamstrings, Calves, Glutes, Quads;;Dumbbell
1054;Squats on Multipress;Legs;Quads;Glutes;
2314;Standing Calf Raise;Legs;;;
2201;Standing Calf Stretch;Legs;Calves;;none (bodyweight exercise)
2363;Standing Pancake;Legs;Hamstrings;;none (bodyweight exercise)
2364;Standing Pancake Good Morning;Legs;Hamstrings;;none (bodyweight exercise)
2202;Standing Soleus Stretch;Legs;;;none (bodyweight exercise)
1499;Step-ups;Legs;;;Bench
2325;Stiff;Legs;Hamstrings;Glutes;Dumbbell
209;Stiff-legged Deadlifts;Legs;Hamstrings;Glutes;Barbell
557;Sumo Deadlift;Legs;Quads;;
2316;Sumo Deadlifts (Barbell);Legs;;;Barbell
570;Sumo Squats;Legs;Glutes, Quads;;none (bodyweight exercise)
396;Thruster;Legs;Shoulders;;Barbell
2357;Toe Touch;Legs;Hamstrings, Glutes;Calves;none (bodyweight exercise)
2153;Wall Drills;Legs;Quads;Calves;none (bodyweight exercise)
387;Wall Squat;Legs;Hamstrings, Quads;;none (bodyweight exercise)
2059;Wall balls;Legs;Shoulders, Glutes, Quads;Biceps, Chest, Abs, ;Swiss Ball
2372;Wall-sit;Legs;Glutes, Quads;Calves, Abs;
321;Weighted Step-ups;Legs;;;
227;Arnold Shoulder Press;Shoulders;;;Dumbbell
1194;BUS DRIVERS;Shoulders;Shoulders;;
268;Bent High Pulls;Shoulders;;;Dumbbell
421;Bent-over Lateral Raises;Shoulders;;;Bench, Dumbbell
2273;BlahBlah;Shoulders;Shoulders;;Barbell
124;Butterfly Reverse;Shoulders;Shoulders;;
265;Cable External Rotation;Shoulders;Shoulders;;
2345;Cable Lateral Raises (Single Arm);Shoulders;Shoulders;;
1078;Cable Rear Delt Fly;Shoulders;Shoulders, ;Triceps;
2410;Clean and Jerk OL;Shoulders;Shoulders, Hamstrings, Glutes, Quads;Lats, Abs, , Triceps;Barbell
329;Diagonal Shoulder Press;Shoulders;;;Bench
2035;Dumbbell Bent Over Row;Shoulders;Shoulders, Biceps, Lats, , , Triceps;;Dumbbell
2335;Dumbbell Front Raise;Shoulders;;;Dumbbell
2334;Dumbbell Lateral Raise;Shoulders;;;Dumbbell
2393;Dumbbell Shoulder Rotations;Shoulders;Shoulders;;Dumbbell
2192;Dumbbell rear delt row;Shoulders;Shoulders, , ;;Dumbbell
394;Facepull;Shoulders;;;
1079;Front Plate Raise;Shoulders;Shoulders;;
233;Front Raises;Shoulders;Shoulders;;Barbell, Dumbbell
1047;Front Raises with Plates;Shoulders;Shoulders, ;;
1163;Handstand Push Up;Shoulders;Shoulders, Triceps;Chest;
807;Handstand Pushup;Shoulders;, Triceps;;none (bodyweight exercise)
1847;Head turns;Shoulders;;;none (bodyweight exercise)
164;High Pull;Shoulders;Shoulders;Glutes;
2025;Hindu Pushups;Shoulders;Shoulders, Chest;Triceps;
2405;Incline OHP DB;Shoulders;Shoulders;Triceps;Dumbbell
2409;Jerk OL;Shoulders;Shoulders;Glutes, Quads, Triceps;Barbell
2406;Kreis Press DB;Shoulders;Shoulders;Biceps, Chest, Abs, Triceps;Dumbbell
1066;Landmine press;Shoulders;Shoulders;Chest, Triceps;Barbell
148;Lateral Raises;Shoulders;Shoulders;;Dumbbell
149;Lateral Rows on Cable, One Armed;Shoulders;Shoulders;;
306;Lateral-to-Front Raises;Shoulders;Shoulders, ;;Dumbbell
1860;Left neck stretch;Shoulders;;;none (bodyweight exercise)
312;Lying Rotator Cuff Exercise;Shoulders;;;Dumbbell
256;Military Press mit SZ-Bar;Shoulders;;;SZ-Bar
2403;Pin OHP;Shoulders;Shoulders, Triceps;;Barbell
2251;Pseudo Planche Push-up;Shoulders;Shoulders;Chest;none (bodyweight exercise)
2404;Push OHP;Shoulders;Shoulders, Glutes, Quads;Triceps;Barbell
190;Push Press;Shoulders;;Glutes;
1081;Rear Delt Raise;Shoulders;Shoulders, ;Lats;Dumbbell
237;Rear Delt Raises;Shoulders;;;Dumbbell
1872;Right neck stretch;Shoulders;;;none (bodyweight exercise)
2308;Schoulder Raise (Dumbbell);Shoulders;Shoulders;;Dumbbell
1197;Seated Dumbbell Side Lateral;Shoulders;Shoulders;;Dumbbell
119;Shoulder Press, Barbell;Shoulders;Shoulders;;Barbell
123;Shoulder Press, Dumbbells;Shoulders;Shoulders;;Dumbbell
152;Shoulder Press, on Machine;Shoulders;Shoulders;Triceps;
155;Shoulder Press, on Multi Press;Shoulders;Shoulders;;
2407;Shoulder Raise Side and Front DB;Shoulders;Shoulders;;Dumbbell
805;Shoulder Shrug;Shoulders;;;none (bodyweight exercise)
2031;Shoulder dislocates;Shoulders;;;
2317;Shrugs (Shoulder Raises);Shoulders;;;Dumbbell
1060;Shrugs on Multipress;Shoulders;Shoulders;Triceps;
150;Shrugs, Barbells;Shoulders;Shoulders;;Barbell
151;Shrugs, Dumbbells;Shoulders;Shoulders;;Dumbbell
422;Side-lying External Rotation;Shoulders;;;
1195;Smith Press;Shoulders;Shoulders;;Incline bench
271;Snach;Shoulders;Shoulders;;Barbell
1196;Straight Bar Cable Front Raise;Shoulders;Shoulders;;SZ-Bar
311;Upright Row w/ Dumbbells;Shoulders;Shoulders, ;Biceps;Dumbbell
127;Upright Row, SZ-bar;Shoulders;Shoulders, ;Biceps;SZ-Bar
147;Upright Row, on Multi Press;Shoulders;Shoulders, ;Biceps;
359;Wall Handstand;Shoulders;;;none (bodyweight exercise)
